El-Rihané,ريحانة
El-Souané,Souaneh
Farhat,غبيري
Fghal,فغال
Fidar,فدار‎
Frat,Frat
Ghorfine,غرفين
Halate,حالات
Hboub,Bichtlida
Hedayné,هدينة
Jage,Elsterwerda
Janné,Janneh
Jbail,بنت جبيل
Kartaba,Afqa
Lehfed,لحفد‎
Mastita,مستيتا
Mechmech,Mechmech
Nahr-Ibrahim,نهر ابراهيم‎
Ras-Osta,راس اوسطة
Yanouh,يانوح
Zebdine,Zebdine
Aïn El-Delbé,Ain Ed Delbeh
Aïn El-Rihané,عين الريحانة‎
Aïntoura,Aintoura
Ballouné,بلونة
Boukak El-Dine,Boukak El Dine
Chahtoul,شحتول
Daraoun,درعون
Dlebta,دلبتا
Eghbeh,Eghbeh
El-Kfour,Kfour
El-Mradiyeh,مرادية
EL-Safra,Safra
Faïtroun,فيطرون
Faraya,فريا
Ghazir,غزير‎
Ghosta,Ghost
Hayata,حياطة
Hrajel,حراجل‎‎
Jeita,جعيتا
Jounieh Haret Sakhr,حارة صخر
Jouret Bedrane,Jouret Bedrane
Jouret Mhad,Jouret Mhad
Kfar Yassine,كفرياسين
Maarab,Maarab
Mayrouba,ميروبا
Mazraet Kfardebiane,مزار كفر دبيان
Mazraet Mrah el-Mir,Mazraet Mrah El Mir
Raachine,رعشين
Rayfoun,ريفون
Tabarja,طبرجا
Wata-El-Jaouz,Wata Ej Jaouz
Zaaitré,Zaaitre
Aïn-Ebel,عين إبل
Hanine,حانين
Kounine,كونين
Soultaniyé,سلطانية
Tibnine,تبنين‎‎
Aïn Jarfa,عين جرفا
El-Kfeir,الكفير
El-Majidiyé,المجيدية
Hasbaya,حاصبيا
Slaïyeb,الصليب
Bani Haiyane,بني حيان
Deir Mimas,دير ميماس
Ebel-El-Saki,مرجعيون
El-Kherbeh,الخربة
Kantara,Larrabetzu
Mhaïbib,محيبيب
Souané,Souaneh
Talloussa,طلوسة
Touline,تولين
Arab Salim,Arab Salim
Choukine,شوكين
Harouf,Harouf
Nabatiyé El-Tahta,نبطية التحتى
Sarba,صربا
Sir El-Gharbiyé,Sir El Gharbiyeh
Yohmor,يحمر
Zefta,زفتا
Basbina,Kfifan
Bchaalé,Bchaaleh
Chekka,شكا
El-Ftahat,Ftahat
Hamat,Hamat
Harbouna,Harbouna
Hardine,Hardine
Jrabta,Jrabta
Jrane,Jrane
Kfar Hatna,Kfar Hatna
Kfar Hay,Kfar Hay
Kfifane,Kfifan
Mar Mama,Mar Mama
Mrah Chdid,مراح شديد
Rachkida,Rachkida
Smar Jbeil,سمار جبيل
Bcharré,بشري
Blaouza,Aarbet Qouzhaiya
Brissat,Brissat
Tourza,طورزا
Aïn Akrine,Ain Akrine
Bdebba,Bdebba
Bkeftine,Bkeftine
Bsarma,بصرما
Btaaboura,بتعبورة
Bziza,بزيزا
Déddé,دده
En-Nakhlé,Nakhleh
Enfeh,انفه
Kefraya,كفريا
Kfar Hatta,كفر حتى
Kfar Hazir,كفر حزير
Kfar Saroun,كفر صارون الكورة
Kousba,كوسبا
Ras Maska,جديدة برقشا
Aïn-El-Tiné,عين التينة
Al-Sfiré,Sfireh
Assoun,Assoun
Debaael,دبعال
El-Hazmieh,حازمية
Markabta,Markabta
Nabi Youcheaa,نبي يوشع
Qarhaiya,Qarhaiya
Qemmamine,Qemmamine
Tourbol,Tourbol
Zouk Bhanine,Zouk Bhanine
Al-Jdeidé,جديدة المتن
Karm Saddé,كرم سدة
Kfar Haoura,Kfar Haoura
Kfar hata,Kfar Hata
Kfar Zeina,Kfar Zaina
Kfarfou,كفر فو
Mazraat el Teffah,Mazraat Et Teffah
Miziara,Miziara
Raskifa,رأس كيفا
Zghorta,
Aïn el-Mir,عين المير
Baissour,كيفون
Bhanine,Zouk Bhanine
Bisri,بسري
El-Louaizé,فيطرون
El-Remmané,عين الرمانة
El-Rihane,ريحانة
El-Zeghrine,زغرين
Haïdab,Haidab
Haïtoura,حيطورة
Lebaa,لبعا
Mazraat el-Mathané,مزرعة المطحنة
Mlikh,Mlikh
Sniyé,Sniyeh
Soujoud,ريحان
Zhalta,Zhalta
Jernaya,جرنايا
Babliyé,البابلية
Bnaafoul,بنعفول
Bqosta,بقسطة
Deir Takla,الفياضية
El-Kharayeb,الخرايب
El-Zrariyé,الزرارية
Ghassaniyé,الغسانية
Haret Saïda,حارة صيدا
Kfar Melki,كفر ملكي
Loubié,اللوبية
Maghdouché,مغدوشة
Saïda Ville,صيدا
Zeita,زيتا
Abou Chech,أبو شاش
Aïn Abou Abdallah,عين أبو عبد الله
Aïn Baal,عين بعال
Alma Chaab,علما الشعب
Boustane,Boustane
Btaychiyé,بطيشية
Chehour,شحور
Chihine,شيحين
Deir Kifa,دير كيفا
El-Biyad,البياض
El-Henniyé,الحنية
El-Mansouri,المنصورية
Hmairé,Hmaireh
Mâaraké,معركة
Mazraat Mechref,مزرعة مشرف
Mjadel,المجادل
Sour (Tyr),صور
Srifa,صريفا
Yarine,يارين
