English Name,English District,Best Arabic Match,Match Score,Cand1,Cand1_Lat,Cand1_Score,Cand2,Cand2_Lat,Cand2_Score,Cand3,Cand3_Lat,Cand3_Score
Kafr Malka,Akkar,القرنة,53.333333333333336,القرنة,كافر ملقة,53.333333333333336,البقيعة,كافر ملقة,50.0,الكنيسة,كفر مالكة,50.0
Katté,Akkar,البساتين,60.0,البساتين,كاتي,60.0,كوشا,كات,57.142857142857146,الكنيسة,كطي,50.0
Khalsa,Akkar,الحيصه,60.0,الحيصه,خالص,60.0,السهلة,خلسة,60.0,القرنة,خالصة,54.54545454545455
Khirbet Er Remmane,Akkar,خربة الجرد,66.66666666666666,خربة الجرد,خربة ار رمانه,66.66666666666666,خريبة الجندي,خربة اير رمن,58.333333333333336,برج العرب,خربة عر رمن,55.55555555555556
Khreibet Aakkar,Akkar,خريبة الجندي,71.42857142857143,خريبة الجندي,خريبة آكر,71.42857142857143,خربة الجرد,خريبة آكر,70.58823529411765,النهرية وبستان الحرش,كهريبت عكار,55.172413793103445
litige,Akkar,الحيصه,54.54545454545455,الحيصه,ليتجه,54.54545454545455,قليعات,ليتجه,54.54545454545455,البساتين,لتجي,50.0
Majdel,Akkar,العماير,40.0,العماير,مجدال,40.0,العوادة,ماجدل,40.0,الفرض,مجدال,40.0
Mazraet-El-Nahrieh,Akkar,الريحانيه,47.61904761904762,الريحانيه,مزرية El نهريه,47.61904761904762,مراح الخوخ,مزراية El نحريه,43.47826086956522,القبيات مرتموره,مازرعت El نهريه,42.857142857142854
Merlayet Melhem,Akkar,القبيات القطلبه,59.25925925925926,القبيات القطلبه,مارليت مالهم,59.25925925925926,السهلة,مرلية مالهم,58.8235294117647,الهيشة,مرلية مالهم,58.8235294117647
Qarha,Akkar,القرنة,75.0,القرنة,قرحة,75.0,القنطره,قره,75.0,الكواشره,كره,66.66666666666666
Sadaka,Akkar,العوادة,60.0,العوادة,صادقة,60.0,القرنة,صداقة,54.54545454545455,البقيعة,صداقة,50.0
Safiné-El-Kayteh,Akkar,سفينة القيطع,60.869565217391305,سفينة القيطع,سفينه El كيطه,60.869565217391305,الريحانيه,صفين El كيته,42.10526315789474,القبيات الضهر,سفنه El كايته,38.46153846153846
Saïdnaya,Akkar,المسعوديه,61.53846153846154,المسعوديه,سعيدني,61.53846153846154,جرمنايا,صيدنايا,57.142857142857146,البساتين,سيدني,54.54545454545455
Tal Kerri,Akkar,الزواريب,62.5,الزواريب,طال كاري,62.5,الكواشره,طال كاري,62.5,القرنة,طال قري,61.53846153846154
Tal Sibhel,Akkar,السهلة,71.42857142857143,السهلة,تال سبهل,71.42857142857143,الحيصه,تال صبهل,57.142857142857146,الدوسه,تال سبهل,57.142857142857146
Zouk-El-Hosmieh et Dahr Ayasse,Akkar,ضهر القنبر,54.54545454545455,ضهر القنبر,زوق El هسميه ات ضهر أيس,54.54545454545455,زوق الحصينه,زوق El حصميه ات ضهر أيس,52.94117647058823,القبيات الضهر,زوق El هسميه ات ضهر أيس,50.0
Aïn El-Beniyé,Baalbeck,وادي بنيت,60.0,وادي بنيت,عاين El بني,60.0,البرانيه حي المسيحيين,عين El بنيه,56.0,النبي نعام,عاين El باني,54.54545454545455
Aïn El-Jaouzé,Baalbeck,مراح العين,54.54545454545455,مراح العين,عين El جوزي,54.54545454545455,النبي شيت حي الجنوبي,عين El جوزي,50.0,حي عز الدين,أين El جوز,50.0
Aïn Séa et Chadourah,Baalbeck,النبي شيت حي طبشار,59.25925925925926,النبي شيت حي طبشار,عن ص ايت شادرة,59.25925925925926,حوش السيد علي,عين سي ات شدرة,59.25925925925926,مراح العين,عين سى ات شدرة,54.54545454545455
Al-Aïne,Baalbeck,وادي الزين,44.44444444444444,وادي الزين,Al أين,44.44444444444444,النبي رشاده,Al أني,40.0,وادي النيرة,Al أني,40.0
Al-Fakiat,Baalbeck,القرينة,50.0,القرينة,Al فقية,50.0,الفاكهة حي الجامع,Al فكية,47.05882352941177,مزرعة الفقيه,Al فقية,47.05882352941177
Al-Khodré,Baalbeck,الخضر الشرقي,66.66666666666666,الخضر الشرقي,Al خضر,66.66666666666666,الخضر الغربي,Al خضر,66.66666666666666,الخضر حي الاشعل,Al خضر,66.66666666666666
Al-Qa Bayoun,Baalbeck,قلعة غربي,55.55555555555556,قلعة غربي,Al قة بين,55.55555555555556,النقرة,Al قة باين,50.0,حي العباسية,Al قة باين,50.0
Al-Qa El-Benjakie,Baalbeck,الفاكهة حي مار جرجس,42.42424242424242,الفاكهة حي مار جرجس,Al قا El بنجاكية,42.42424242424242,قلعة غربي,Al قة El بنجكية,41.666666666666664,وادي بنيت,Al قا El بنجكية,41.666666666666664
Al-Qa Jouar Mekie,Baalbeck,جوار الحشيش,61.53846153846154,جوار الحشيش,Al قا جوار مكية,61.53846153846154,الفاكهة حي الجامع,Al قا جعر مكه,52.17391304347826,الشواغير الفوقا,Al قا جوار مكي,48.0
Al-Qa Wadi El-Khanzir,Baalbeck,وادي بنيت,61.53846153846154,وادي بنيت,Al قا وادي El خنزير,61.53846153846154,وادي النيرة,Al قة وادي El خنزير,60.0,وادي الرطل,Al قا وادي El خنزير,57.142857142857146
Al-Saïdat,Baalbeck,السعيده,61.53846153846154,السعيده,Al سعيدة,61.53846153846154,العقيدية,Al سعيدة,57.142857142857146,دار الواسعة,Al سعيدة,47.05882352941177
Al-Taybat,Baalbeck,بيت ابو صليبي,40.0,بيت ابو صليبي,Al تيبت,40.0,قبة دورس,Al طيبة,40.0,النبي شيت حي طبشار,Al طيبات,38.095238095238095
Chaïbé,Baalbeck,النبي شيت حي العريض,58.8235294117647,النبي شيت حي العريض,شعيبي,58.8235294117647,الخضر حي الشعب,شعيب,54.54545454545455,العقيدية,شعيبي,54.54545454545455
Conflict,Baalbeck,وادي بنيت,54.54545454545455,وادي بنيت,كنفليكت,54.54545454545455,فلاوي,كنفليكت,50.0,التوفيقيه,كونفلقت,42.857142857142854
Dar El-Ouassia,Baalbeck,دار الواسعة,66.66666666666666,دار الواسعة,دار El أواسي,66.66666666666666,الخضر حي الجنوبي,ضر El أوصي,52.63157894736842,الخضر الشرقي,ضر El اوسي,50.0
